"Product ID","Title","Tags","Matched Keywords","Matched Licensors","Winning Licensor","Winning Score","Reason"
"162182741","TSL  CaboBandz™","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"217284325","Charcoal Grey Black Buette Crewneck Sweatshirt","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"229042309","TSL - Test Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"233145873","Winterfest Tanks","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"237155865","CornHole Tourney - Tee","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"237159365","CornHole Tourney - Racerback","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"238056645","Shipwrecked CaboBandz","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"238724857","Custom Pocket Spring Break Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"238725637","Kappa Muscle Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"238727569","Boxy Crop Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"240621041","Phi Guy / Soccer shirts!","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241013781","Custom Pocket Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241014313","Custom Pocket Tee","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241015053","Triad Black Unisex Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241016093","Triad Power Washed Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241932985","Roll Wave Flowy Racer Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241942121","Just Cure It Tee","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241942965","Just Cure It V-neck","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241944841","Just Cure It Crewneck","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"244084225","Spring Break Muscle Tee","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"245086829","Hera Day Lyre V-Neck","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"245094001","Hera Day Lyre V-Neck","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"248674477","Cabo Spring Break Official Tank","ALL, campaign_past_campaign, General, past_campaign_temp","","","Various","0","No matching keywords found"
